type,term,unicode,source_definition,learner_definition_en,learner_definition_status,ai_review_status,review_notes
character,長,U+9577,long; length; excel in; leader; Kangxi radical 168,long; grow,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,國,U+570B,"nation, country, nation-state",country; nation,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,以,U+4EE5,"by means of; thereby, therefore; consider as; in order to",by; using,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,算,U+7B97,"count, calculate, figure; plan",count; calculate,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,什,U+4EC0,"file of ten soldiers; mixed, miscellaneous",what; used in questions,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,成,U+6210,"completed, finished, fixed",become; finish,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,年,U+5E74,year; new-years; person's age,year,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,千,U+5343,"thousand; many, numerous; very; (Cant.) a cheater, swindler",thousand,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,生,U+751F,"life, living, lifetime; birth",life; be born,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,就,U+5C31,"just, simply; to come, go to; to approach, near",then; just,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,樣,U+6A23,"shape, form, pattern, style",way; kind; pattern,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,同,U+540C,"same, similar; together with",same; together,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,兩,U+5169,"two, both, pair, couple; ounce",two; both,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,得,U+5F97,"obtain, get, gain, acquire",get; receive,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,去,U+53BB,"go away, leave, depart",go; leave,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,三,U+4E09,three,three,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,二,U+4E8C,two; twice,two,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,為,U+70BA,"do, handle, govern, act; be",do; be,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,可,U+53EF,"may, can, -able; possibly",can; may,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,讀,U+8B80,"read, study; pronounce",read; study,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,起,U+8D77,"rise, stand up; go up; begin",rise; begin,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,寫,U+5BEB,"write; draw, sketch; compose",write; draw,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,幾,U+5E7E,"how many? how much?; a few, some",how many; a few,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,做,U+505A,"work, make; act",do; make,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,十,U+5341,"ten, tenth; complete; perfect",ten,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,第,U+7B2C,"sequence, number; grade, degree",shows order in a list,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,好,U+597D,"good, excellent, fine; well",good; well,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,動,U+52D5,"move, happen; movement, action",move; action,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,作,U+4F5C,"make; work; compose, write; act, perform",make; do,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,家,U+5BB6,"house, home, residence; family",home; family,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,比,U+6BD4,"to compare, liken; comparison; than; hexagram ䷇",compare; than,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,後,U+5F8C,"behind, rear, after; descendents",behind; after,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,還,U+9084,"still, yet, also, besides",still; also,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,過,U+904E,"pass, pass through, go across",pass; cross,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,位,U+4F4D,"throne; position, post; rank, status; seat",position; measure word for people,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,水,U+6C34,"water, liquid, lotion, juice",water,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,行,U+884C,"go; walk; move, travel; circulate; Kangxi radical 144",go; travel,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,能,U+80FD,"to be able; can, permitted to; ability",can; be able to,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,它,U+5B83,it; other,it,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,題,U+984C,"forehead; title, headline; theme",question; topic,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,平,U+5E73,"flat, level, even; peaceful",flat; peaceful,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,計,U+8A08,"plan, plot; stratagem; scheme",plan; count,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,各,U+5404,"each, individually, every, all",each; every,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,練,U+7DF4,"practice, drill, exercise, train",practise; train,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,那,U+90A3,"that, that one, those",that; that one,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,體,U+9AD4,"body; group, class, body, unit",body; group,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,文,U+6587,"literature, culture, writing",writing; language,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,自,U+81EA,"self, private, personal; from; Kangxi radical 132",self; from,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,曲,U+66F2,"crooked, bent; wrong, false",song; bent shape,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,法,U+6CD5,"law, rule, regulation, statute; France, French",law; method,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,也,U+4E5F,also; classical final particle of strong affirmation or identity,also; too,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,形,U+5F62,"form, shape, appearance",shape; form,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,會,U+6703,"to assemble, meet together; a meeting; an organization",meet; can,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,種,U+7A2E,seed; race; offspring; to plant,kind; type; seed,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,課,U+8AB2,lesson; course; classwork,lesson; classwork,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,聽,U+807D,"hear, listen; understand; obey",hear; listen,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,從,U+5F9E,"from, by, since, whence, through",from; through,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,高,U+9AD8,"high, tall; lofty, elevated; Kangxi radical 189",high; tall,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,歌,U+6B4C,"song, lyrics; sing, chant; praise",song; sing,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,表,U+8868,"show, express, manifest, display",show; express,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,邊,U+908A,"edge, margin, side, border",edge; side,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,克,U+514B,gram; overcome; transliteration,gram; overcome,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,都,U+90FD,"metropolis, capital; all, the whole; elegant, refined",all; whole,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,對,U+5C0D,"correct, right; facing, opposed",correct; facing,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,習,U+7FD2,practice; flapping wings,practise; learn,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,怎,U+600E,what? why? how?,how; why,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,兒,U+5152,"son, child, oneself; final part",child,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,又,U+53C8,"and, also, again, in addition",again; also,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,花,U+82B1,flower; blossoms,flower,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,四,U+56DB,four,four,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,心,U+5FC3,"heart; mind, intelligence; soul; 5th lunar mansion, determinative star α Scorpii (Antares)",heart; mind,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,工,U+5DE5,"labor, work; worker, laborer",work; worker,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,加,U+52A0,"add to, increase, augment",add; increase,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,些,U+4E9B,"little, few; rather, somewhat",some; a few,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,老,U+8001,"old, aged; experienced; Kangxi radical 125",old; experienced,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,再,U+518D,"again, twice, re-",again,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,音,U+97F3,"sound, tone, pitch, pronunciation; Kangxi radical 180",sound; pronunciation,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,發,U+767C,"issue, dispatch, send out, emit",send out; give off,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,車,U+8ECA,"cart, vehicle; carry in a cart; Kangxi radical 159",vehicle; cart,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,共,U+5171,"together with, all, total; to share",together; share,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,意,U+610F,"thought, idea, opinion; think",idea; meaning,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,月,U+6708,moon; month; Kangxi radical 74,moon; month,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,圖,U+5716,"diagram; chart, map, picture",picture; map,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,相,U+76F8,"mutual, reciprocal, each other",each other; mutual,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,哪,U+54EA,which? where? how?,which; where,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,唱,U+5531,"sing, chant, call; ditty, song",sing,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,物,U+7269,"thing, substance, creature",thing; object,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,聲,U+8072,"sound, voice, noise; tone; music",sound; voice,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,開,U+958B,"open; initiate, begin, start",open; start,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,事,U+4E8B,"affair, matter, business; to serve; accident, incident",matter; event,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,本,U+672C,"root, origin, source; basis",root; basis,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,果,U+679C,fruit; result,fruit; result,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,進,U+9032,"advance, make progress, enter",enter; move forward,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,點,U+9EDE,"dot, speck, spot; point, degree",dot; point,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,樹,U+6A39,"tree; plant; set up, establish",tree,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,現,U+73FE,"appear, manifest, become visible",appear; present,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,然,U+7136,"yes, certainly; pledge, promise",yes; so,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,合,U+5408,"combine, unite, join; gather",join; combine,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,積,U+7A4D,"accumulate, store up, amass",collect; build up,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,產,U+7522,"give birth, bring forth, produce",produce; give birth,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,前,U+524D,"in front, forward; preceding",in front; before,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,沒,U+6C92,"not, have not, none; to drown, sink",not have; none,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,山,U+5C71,"mountain, hill, peak",mountain; hill,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,條,U+689D,"clause, condition; string, stripe",strip; measure word for long things,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,頭,U+982D,"head; top; chief, first; boss",head; top,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,走,U+8D70,"walk, go on foot; run; leave; Kangxi radical 156",walk; leave,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,民,U+6C11,"people, subjects, citizens",people; citizens,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,求,U+6C42,"seek; demand, request; beseech",seek; ask for,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,道,U+9053,"path, road, street; method, way",road; way,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,組,U+7D44,"class; section, department",group; set,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,給,U+7D66,"give; by, for",give; for,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,正,U+6B63,"right, proper, correct",right; correct,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,快,U+5FEB,"rapid, quick, speedy, fast; soon",fast; soon,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,媽,U+5ABD,"mother, mama",mother; mum,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,書,U+66F8,"book, letter, document; writings",book; writing,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,口,U+53E3,"mouth; open end; entrance, gate",mouth; opening,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,段,U+6BB5,"section, piece, division",section; part,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,重,U+91CD,"heavy, weighty; double",heavy; important,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,明,U+660E,"bright, light, brilliant; clear",bright; clear,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,公,U+516C,"fair, equitable; public; duke",public; fair,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,向,U+5411,"toward, direction, trend",towards; direction,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,路,U+8DEF,"road, path, street; journey",road; path,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,紅,U+7D05,"red, vermillion; blush, flush",red,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,樂,U+6A02,"happy, glad; enjoyable; music",happy; music,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,手,U+624B,hand,hand,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,先,U+5148,"first, former, previous",first; before,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,字,U+5B57,"letter, character, word",letter; written character,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,除,U+9664,"eliminate, remove, except",remove; except,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,全,U+5168,"maintain, keep whole or intact",whole; complete,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,五,U+4E94,five; surname,five,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,百,U+767E,"one hundred; numerous, many",one hundred,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,部,U+90E8,"part, division, section",part; section,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,叫,U+53EB,"cry, shout; hail, greet, call",call; shout,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,啦,U+5566,final particle of assertion,a word ending that adds emphasis,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,主,U+4E3B,"master, chief owner; host; lord",main; owner,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,思,U+601D,"think, consider, ponder; final particle",think; consider,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,回,U+56DE,"return, turn around; a time",return; turn back,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,畫,U+756B,"delineate, painting, picture, drawing; draw",drawing; draw,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,答,U+7B54,"answer, reply; return; assent to",answer; reply,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,機,U+6A5F,"machine; moment, chance",machine; chance,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,氣,U+6C23,"air, gas, steam, vapor; spirit",air; energy,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,元,U+5143,first; dollar; origin; head,first; origin,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,當,U+7576,"bear, accept, undertake; just",when; should,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,師,U+5E2B,"teacher, master, specialist; multitude, troops; hexagram ䷆",teacher; expert,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,像,U+50CF,"a picture, image, figure; to resemble",picture; look like,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,間,U+9593,"interval, space; place, between",between; space,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,例,U+4F8B,"precedent, example; regulation",example; rule,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,實,U+5BE6,"real, true, solid, honest",real; true,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,放,U+653E,"put, release, free, liberate",put; release,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,最,U+6700,"most, extremely, exceedingly",most,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,萬,U+842C,ten thousand; innumerable,ten thousand; many,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,情,U+60C5,"feeling, sentiment, emotion",feeling; emotion,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,知,U+77E5,"know, perceive, comprehend",know; understand,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,解,U+89E3,"loosen, unfasten, untie; explain; hexagram ䷧",explain; solve,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,角,U+89D2,"horn; angle, corner; point; Kangxi radical 148; 1st lunar mansion, determinative star Spica",horn; corner,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,隊,U+968A,"team, group; army unit",team; group,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,很,U+5F88,"very, quite, much",very,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,白,U+767D,"white; pure, unblemished; bright",white; clear,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,運,U+904B,"luck, fortune; ship, transport",move; luck,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,次,U+6B21,"order, sequence; next",next; time,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,隻,U+96BB,"single, one of pair, lone; measure word",one of a pair; measure word,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,化,U+5316,"change, convert, reform; -ize",change; turn into,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
