"file","language","jsonPointer","original","corrected"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","ja","/sentenceBuilders/0/translations/ja","{""text"":""母は庭にいます。"",""tiles"":[""母は"",""庭に"",""います。""],""analysis"":{""sentencePattern"":""Topic + place + います"",""literalOrderExplanation"":""母は → 庭に → います"",""grammarExplanation"":[""Japanese marks the topic with は."",""に marks a place for being or destination."",""The verb comes at the end.""],""tokens"":[{""text"":""母は"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""庭に"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""います"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}","{""text"":""お母さんは庭にいます。"",""tiles"":[""お母さんは"",""庭に"",""います。""],""analysis"":{""sentencePattern"":""Topic + place + います"",""literalOrderExplanation"":""お母さんは → 庭に → います"",""grammarExplanation"":[""Japanese marks the topic with は."",""に marks a place for being or destination."",""The verb comes at the end.""],""tokens"":[{""text"":""お母さんは"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""庭に"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""います"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","de","/sentenceBuilders/1/translations/de/analysis/sentencePattern","Article + noun + verb-second + object","Article + noun + verb-second + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","fr","/sentenceBuilders/1/translations/fr/analysis/sentencePattern","Article + noun + verb phrase + object","Article + noun + verb phrase + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","es","/sentenceBuilders/1/translations/es/analysis/sentencePattern","Article + noun + verb + object","Article + noun + verb + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","ja","/sentenceBuilders/1/translations/ja","{""text"":""祖母はいすの近くに座ります。"",""tiles"":[""祖母は"",""いすの近くに"",""座ります。""],""analysis"":{""sentencePattern"":""Topic + object + verb-final"",""literalOrderExplanation"":""祖母は → いすの近くに → 座ります"",""grammarExplanation"":[""Japanese marks the topic with は."",""The object or phrase comes before the verb."",""The verb comes at the end.""],""tokens"":[{""text"":""祖母は"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""いすの近くに"",""type"":""phrase"",""role"":""object_or_detail"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""座ります"",""type"":""verb"",""role"":""main action"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}","{""text"":""おばあさんはいすの近くに座ります。"",""tiles"":[""おばあさんは"",""いすの近くに"",""座ります。""],""analysis"":{""sentencePattern"":""Topic + object + verb-final"",""literalOrderExplanation"":""おばあさんは → いすの近くに → 座ります"",""grammarExplanation"":[""Japanese marks the topic with は."",""The object or phrase comes before the verb."",""The verb comes at the end.""],""tokens"":[{""text"":""おばあさんは"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""いすの近くに"",""type"":""phrase"",""role"":""object_or_detail"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""座ります"",""type"":""verb"",""role"":""main action"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","ja","/sentenceBuilders/1/translations/ja/analysis/sentencePattern","Topic + object + verb-final","Topic + object/detail + verb-final"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/vocabulary/0/translations/fr/text","camarade","camarade de classe"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/vocabulary/2/translations/fr/text","classe","salle de classe"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/vocabulary/5/translations/fr/text","sac","cartable"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","es","/vocabulary/5/translations/es/text","bolsa","mochila"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/phraseProgressionChains/0/steps/0/translations/fr","{""text"":""le camarade"",""tiles"":[""le camarade""],""analysis"":{""sentencePattern"":""Article + noun"",""literalOrderExplanation"":""le camarade"",""grammarExplanation"":[""French nouns normally use an article."",""Elision such as l' is written without a space.""],""tokens"":[{""text"":""le camarade"",""type"":""noun"",""role"":""core_concept"",""meaning"":""person"",""grammarNote"":""""}]}}","{""text"":""le camarade de classe de classe"",""tiles"":[""le camarade de classe de classe""],""analysis"":{""sentencePattern"":""Article + noun"",""literalOrderExplanation"":""le camarade de classe de classe"",""grammarExplanation"":[""French nouns normally use an article."",""Elision such as l' is written without a space.""],""tokens"":[{""text"":""le camarade de classe de classe"",""type"":""noun"",""role"":""core_concept"",""meaning"":""person"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/phraseProgressionChains/0/steps/1/translations/fr","{""text"":""la classe."",""tiles"":[""la classe.""],""analysis"":{""sentencePattern"":""Prepositional/object phrase"",""literalOrderExplanation"":""la classe"",""grammarExplanation"":[""French phrase chunks often include a preposition and article.""],""tokens"":[{""text"":""la classe"",""type"":""phrase"",""role"":""supporting_detail"",""meaning"":""place"",""grammarNote"":""""}]}}","{""text"":""la salle de classe."",""tiles"":[""la salle de classe.""],""analysis"":{""sentencePattern"":""Prepositional/object phrase"",""literalOrderExplanation"":""la salle de classe"",""grammarExplanation"":[""French phrase chunks often include a preposition and article.""],""tokens"":[{""text"":""la salle de classe"",""type"":""phrase"",""role"":""supporting_detail"",""meaning"":""place"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/phraseProgressionChains/0/steps/2/translations/fr","{""text"":""Le camarade est dans la classe."",""tiles"":[""Le"",""camarade"",""est"",""dans"",""la"",""classe.""],""analysis"":{""sentencePattern"":""Article + noun + être + place phrase"",""literalOrderExplanation"":""Le → camarade → est → dans → la → classe"",""grammarExplanation"":[""French uses être for location."",""Articles agree with the noun.""],""tokens"":[{""text"":""Le"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""camarade"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""est"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""dans"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""la"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""classe"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}","{""text"":""Le camarade de classe de classe est dans la salle de classe."",""tiles"":[""Le"",""camarade de classe"",""est"",""dans"",""la"",""classe.""],""analysis"":{""sentencePattern"":""Article + noun + être + place phrase"",""literalOrderExplanation"":""Le → camarade de classe → est → dans → la → classe"",""grammarExplanation"":[""French uses être for location."",""Articles agree with the noun.""],""tokens"":[{""text"":""Le"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""camarade de classe"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""est"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""dans"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""la"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""classe"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/phraseProgressionChains/0/steps/2/translations/fr/tiles","Le | camarade de classe | est | dans | la | classe.","Le | camarade | de | classe | de | classe | est | dans | la | salle | de | classe."
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/phraseProgressionChains/0/steps/2/translations/fr/analysis/literalOrderExplanation","Le → camarade de classe → est → dans → la → classe","Le → camarade → de → classe → de → classe → est → dans → la → salle → de → classe"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","de","/phraseProgressionChains/1/steps/2/translations/de/analysis/sentencePattern","Article + noun + verb-second + object","Article + noun + verb-second + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/phraseProgressionChains/1/steps/2/translations/fr/analysis/sentencePattern","Article + noun + verb phrase + object","Article + noun + verb phrase + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","es","/phraseProgressionChains/1/steps/2/translations/es/analysis/sentencePattern","Article + noun + verb + object","Article + noun + verb + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","ja","/phraseProgressionChains/1/steps/2/translations/ja/analysis/sentencePattern","Topic + object + verb-final","Topic + object/detail + verb-final"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/sentenceBuilders/0/translations/fr","{""text"":""Le camarade est dans la classe."",""tiles"":[""Le"",""camarade"",""est"",""dans"",""la"",""classe.""],""analysis"":{""sentencePattern"":""Article + noun + être + place phrase"",""literalOrderExplanation"":""Le → camarade → est → dans → la → classe"",""grammarExplanation"":[""French uses être for location."",""Articles agree with the noun.""],""tokens"":[{""text"":""Le"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""camarade"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""est"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""dans"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""la"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""classe"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}","{""text"":""Le camarade de classe de classe est dans la salle de classe."",""tiles"":[""Le"",""camarade de classe"",""est"",""dans"",""la"",""classe.""],""analysis"":{""sentencePattern"":""Article + noun + être + place phrase"",""literalOrderExplanation"":""Le → camarade de classe → est → dans → la → classe"",""grammarExplanation"":[""French uses être for location."",""Articles agree with the noun.""],""tokens"":[{""text"":""Le"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""camarade de classe"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""est"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""dans"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""la"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""classe"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/sentenceBuilders/0/translations/fr/tiles","Le | camarade de classe | est | dans | la | classe.","Le | camarade | de | classe | de | classe | est | dans | la | salle | de | classe."
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/sentenceBuilders/0/translations/fr/analysis/literalOrderExplanation","Le → camarade de classe → est → dans → la → classe","Le → camarade → de → classe → de → classe → est → dans → la → salle → de → classe"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","de","/sentenceBuilders/1/translations/de/analysis/sentencePattern","Article + noun + verb-second + object","Article + noun + verb-second + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","fr","/sentenceBuilders/1/translations/fr/analysis/sentencePattern","Article + noun + verb phrase + object","Article + noun + verb phrase + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","es","/sentenceBuilders/1/translations/es/analysis/sentencePattern","Article + noun + verb + object","Article + noun + verb + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_002_school_classroom/pack.json","ja","/sentenceBuilders/1/translations/ja/analysis/sentencePattern","Topic + object + verb-final","Topic + object/detail + verb-final"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","de","/vocabulary/0/translations/de/text","Urlauber","Tourist"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","ja","/vocabulary/0/translations/ja/text","観光客","観光お客さん"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","de","/phraseProgressionChains/0/steps/0/translations/de","{""text"":""der Urlauber"",""tiles"":[""der Urlauber""],""analysis"":{""sentencePattern"":""Article + noun"",""literalOrderExplanation"":""der Urlauber"",""grammarExplanation"":[""German nouns are capitalised."",""The article marks gender.""],""tokens"":[{""text"":""der Urlauber"",""type"":""noun"",""role"":""core_concept"",""meaning"":""person"",""grammarNote"":""""}]}}","{""text"":""der Tourist"",""tiles"":[""der Tourist""],""analysis"":{""sentencePattern"":""Article + noun"",""literalOrderExplanation"":""der Tourist"",""grammarExplanation"":[""German nouns are capitalised."",""The article marks gender.""],""tokens"":[{""text"":""der Tourist"",""type"":""noun"",""role"":""core_concept"",""meaning"":""person"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","ja","/phraseProgressionChains/0/steps/0/translations/ja","{""text"":""観光客"",""tiles"":[""観光客""],""analysis"":{""sentencePattern"":""Noun"",""literalOrderExplanation"":""観光客"",""grammarExplanation"":[""Japanese nouns do not need articles.""],""tokens"":[{""text"":""観光客"",""type"":""noun"",""role"":""core_concept"",""meaning"":""person"",""grammarNote"":""""}]}}","{""text"":""観光お客さん"",""tiles"":[""観光お客さん""],""analysis"":{""sentencePattern"":""Noun"",""literalOrderExplanation"":""観光お客さん"",""grammarExplanation"":[""Japanese nouns do not need articles.""],""tokens"":[{""text"":""観光お客さん"",""type"":""noun"",""role"":""core_concept"",""meaning"":""person"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","de","/phraseProgressionChains/0/steps/2/translations/de","{""text"":""Der Urlauber ist am Fluss."",""tiles"":[""Der"",""Urlauber"",""ist"",""am"",""Fluss.""],""analysis"":{""sentencePattern"":""Article + noun + verb-second + place phrase"",""literalOrderExplanation"":""Der → Urlauber → ist → am → Fluss"",""grammarExplanation"":[""German keeps the finite verb in second position."",""Location phrases often use dative forms such as im, am, or in der.""],""tokens"":[{""text"":""Der"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""Urlauber"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""ist"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""am"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""Fluss"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}","{""text"":""Der Tourist ist am Fluss."",""tiles"":[""Der"",""Tourist"",""ist"",""am"",""Fluss.""],""analysis"":{""sentencePattern"":""Article + noun + verb-second + place phrase"",""literalOrderExplanation"":""Der → Tourist → ist → am → Fluss"",""grammarExplanation"":[""German keeps the finite verb in second position."",""Location phrases often use dative forms such as im, am, or in der.""],""tokens"":[{""text"":""Der"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""Tourist"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""ist"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""am"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""Fluss"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","ja","/phraseProgressionChains/0/steps/2/translations/ja","{""text"":""観光客は川のそばにいます。"",""tiles"":[""観光客は"",""川のそばに"",""います。""],""analysis"":{""sentencePattern"":""Topic + place + います"",""literalOrderExplanation"":""観光客は → 川のそばに → います"",""grammarExplanation"":[""Japanese marks the topic with は."",""に marks a place for being or destination."",""The verb comes at the end.""],""tokens"":[{""text"":""観光客は"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""川のそばに"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""います"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}","{""text"":""観光おお客さんさんは川のそばにいます。"",""tiles"":[""観光おお客さんさんは"",""川のそばに"",""います。""],""analysis"":{""sentencePattern"":""Topic + place + います"",""literalOrderExplanation"":""観光おお客さんさんは → 川のそばに → います"",""grammarExplanation"":[""Japanese marks the topic with は."",""に marks a place for being or destination."",""The verb comes at the end.""],""tokens"":[{""text"":""観光おお客さんさんは"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""川のそばに"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""います"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","de","/phraseProgressionChains/1/steps/2/translations/de/analysis/sentencePattern","Article + noun + verb-second + object","Article + noun + verb-second + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","fr","/phraseProgressionChains/1/steps/2/translations/fr/analysis/sentencePattern","Article + noun + verb phrase + object","Article + noun + verb phrase + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","es","/phraseProgressionChains/1/steps/2/translations/es/analysis/sentencePattern","Article + noun + verb + object","Article + noun + verb + object/detail"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","ja","/phraseProgressionChains/1/steps/2/translations/ja/analysis/sentencePattern","Topic + object + verb-final","Topic + object/detail + verb-final"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_003_river_bridge/pack.json","de","/sentenceBuilders/0/translations/de","{""text"":""Der Urlauber ist am Fluss."",""tiles"":[""Der"",""Urlauber"",""ist"",""am"",""Fluss.""],""analysis"":{""sentencePattern"":""Article + noun + verb-second + place phrase"",""literalOrderExplanation"":""Der → Urlauber → ist → am → Fluss"",""grammarExplanation"":[""German keeps the finite verb in second position."",""Location phrases often use dative forms such as im, am, or in der.""],""tokens"":[{""text"":""Der"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""Urlauber"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""ist"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""am"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""Fluss"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}","{""text"":""Der Tourist ist am Fluss."",""tiles"":[""Der"",""Tourist"",""ist"",""am"",""Fluss.""],""analysis"":{""sentencePattern"":""Article + noun + verb-second + place phrase"",""literalOrderExplanation"":""Der → Tourist → ist → am → Fluss"",""grammarExplanation"":[""German keeps the finite verb in second position."",""Location phrases often use dative forms such as im, am, or in der.""],""tokens"":[{""text"":""Der"",""type"":""noun"",""role"":""subject"",""meaning"":""person or topic"",""grammarNote"":""""},{""text"":""Tourist"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""ist"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""am"",""type"":""phrase"",""role"":""location"",""meaning"":""sentence detail"",""grammarNote"":""""},{""text"":""Fluss"",""type"":""verb"",""role"":""being/location"",""meaning"":""main sentence action"",""grammarNote"":""""}]}}"
